单词,中文释义(选填),音标(选填),音节拆分(选填),词根词缀(选填),语义推导(选填)
colour,vt.给......着⾊ n.⾊彩，颜⾊,/ˈkʌlə(r)/,col-our,,
black,adj.⿊⾊的 n.⿊⾊,/blæk/,black,,
white,adj.⽩⾊的 n.⽩⾊,/waɪt/,white,,
red,adj.红⾊的 n.红⾊,/red/,red,,
yellow,adj.⻩⾊的 n.⻩⾊,/ˈjeləʊ/,yel-low,,
blue,adj.蓝⾊的；忧郁的 n.蓝⾊,/bluː/,blue,,
green,adj.绿⾊的；未熟的；⽆经验的 n.绿⾊ ；绿⾊物品,/ɡriːn/,green,,
orange,n.橘⼦；橙；柑橘 adj.橙⾊的，橘⻩⾊ ，橙红⾊的,/ˈɒrɪndʒ/,or-ange,,
pink,n.粉红⾊ adj.粉红⾊的,/pɪŋk/,pink,,
brown,adj.褐⾊的；棕⾊的 n.褐⾊；棕⾊,/braʊn/,brown,,
purple,n.紫⾊ adj.紫⾊的,/ˈpɜːpl/,pur-ple,,
line,n.⾏；排；线；线条，（排列的）队 ．沿 ......形成⾏（或列排）,/laɪn/,line,,
circle,v.圈出n.圆形；圆圈 n.平⽅；正⽅形；四⽅形；⼴场 adj.正⽅,/ˈsɜːkl/,cir-cle,,
square,n.平方；正方形；四方形；广场 adj.正方形的；平方的；四方形的；成直角的 v.使成平方；与...一致 adv.成直角地,/skweə(r)/,square,,
big,adj.⼤的；⼤号的；年龄较⼤的,/bɪɡ/,big,,
small,adj.⼩的；⼩号的,/smɔːl/,small,,
straight,adj.直的；笔直的；正直的；率直的 adv.直；径直；直接;⽴即；笔直地；成直 线地,/streɪt/,straight,,
curly,adj.卷曲的；蜷缩的,/ˈkɜːli/,curl-y,,
round,adj.圆形的；环形的；球形的；⼗⾜的 adv.环绕；附近 prep.环绕；在......周围 n.圆；圆形物；巡回；回合 v.绕过；拐过 ；使成圆形,/raʊnd/,round,,
long,adj.（⻓度或距离）⻓的；⻓时间的 adv.⻓久地；始终 n.⻓时间；⻓期 v.渴望 ；盼望,/lɒŋ/,long,,
clothes,n.(pl.)⾐服；服装,/kləʊðz/,clothes,,
wear,v.穿（戴）着 n.⾐着；磨损,/weə(r)/,wear,,
coat,n.外套；⼤⾐；⽪⽑ v.给......穿上外⾐ ；覆盖,/kəʊt/,coat,,
jacket,n.夹克衫；夹克；短上⾐,/ˈdʒækɪt/,jack-et,,
shirt,n.（尤指男式）衬衫,/ʃɜːt/,shirt,,
T-shirt,n.T恤衫，短袖运动衫,/ˈtiː ʃɜːt/,T-shirt,,
sweater,n.⽑⾐；线⾐；（⻓袖）⽑线⾐，⽺⽑衫 ；套头衫；套头⽑⾐,/ˈswetə(r)/,sweat-er,,
dress,n.连⾐裙；⾐服 v.（给......）穿⾐服,/dres/,dress,,
skirt,n.⼥裙；裙⼦；半⾝裙；下摆；边缘 v.位 于......的边缘；绕着......⾛；避开,/skɜːt/,skirt,,
trousers,n.（⽤复数）⻓裤,/ˈtraʊzəz/,trou-sers,,
pants,n.⻓裤⼦；短内裤；pant的复数 v.喘⽓ ；喘息；pant的第三⼈称单数,/pænts/,pants,,
shorts,n.（⽤复数）短裤,/ʃɔːts/,shorts,,
sock,n.短袜v.穿袜,/sɒk/,sock,,
shoe,n.鞋⼦,/ʃuː/,shoe,,
cap,n.（尤指有帽⾆的）帽⼦ v.覆盖......的顶 部,/kæp/,cap,,
hat,n.（通常指有檐的）帽⼦,/hæt/,hat,,
scarf,n.围⼱；披⼱；头⼱ v.围（围⼱）；披 （披⼱）,/skɑːf/,scarf,,
glove,n.（⼿指分开的）⼿套,/ɡlʌv/,glove,,
glasses,n.眼镜 n.玻璃；玻璃杯；glass的复数,/ˈɡlɑːsɪz/,glass-es,,
buy,v.买；换取；收买；相信,/baɪ/,buy,,
sell,v.卖出......；出售；转让,/sel/,sell,,
spend,v.花（时间）；花费（⾦钱时间等）；度 过,/spend/,spend,,
cost,v.花费，价钱为，需付费 n.费⽤；花费 ，价钱；成本；代价,/kɒst/,cost,,
price,"n.价格,价钱,代价 vt.标明价格",/praɪs/,price,,
dollar,n.元（美国加拿⼤澳⼤利亚等国的货币单 位），美元,/ˈdɒlə(r)/,dol-lar,,
cent,n.（货币单位）分；分币,/sent/,cent,,
size,"n.⼤⼩,号；尺⼨,(⾐服等)尺码 vt.依⼤⼩ 排列",/saɪz/,size,,
sale,"n.出售,销售；卖出,廉价出售,销路,销售额",/seɪl/,sale,,
expensive,adj.昂贵的；花钱多的,/ɪkˈspensɪv/,ex-pen-sive,ex-|向外 + pens|花费 + -ive|形容词后缀,花出去很多 → 昂贵的
cheap,adj.花钱少的；廉价的；便宜的,/tʃiːp/,cheap,,
diet,n.节⻝，规定饮⻝（为健康或减肥等⽬的 ）；⽇常饮⻝,/ˈdaɪət/,di-et,,
food,n.⻝物，⻝品,/fuːd/,food,,
eat,v.吃；进餐,/iːt/,eat,,
meal,n.（或午晚）餐；⼀餐；饭，⼀顿饭；早 餐；⼀餐所吃的⻝物,/miːl/,meal,,
breakfast,n.早餐；早饭,/ˈbrekfəst/,break-fast,break|打破 + fast|禁食,打破禁食 → 早餐
lunch,n.午餐；午饭,/lʌntʃ/,lunch,,
dinner,n.正餐；晚餐,/ˈdɪnə(r)/,din-ner,,
rice,n.⼤⽶；⽶饭,/raɪs/,rice,,
noodle,n.⾯条,/ˈnuːdl/,noo-dle,,
dumpling,n.饺⼦；⽔饺；汤团；团⼦,/ˈdʌmplɪŋ/,dump-ling,,
bread,n.⾯包；⽣计,/bred/,bread,,
hamburger,n.(burger)汉堡包,/ˈhæmbɜːɡə/,ham-bur-ger,Hamburg|汉堡(城市名) + -er|...的,来自汉堡的 → 汉堡包
sandwich,n.三明治,/ˈsænwɪtʃ/,sand-wich,Sandwich|三明治伯爵(人名),以人名命名 → 三明治
pizza,n.⽐萨饼；披萨；意⼤利薄饼,/ˈpiːtsə/,piz-za,,
pie,n.果馅饼；⾁馅饼，派，馅饼,/paɪ/,pie,,
meat,n.（猪⽜⽺等的）⾁；⾁类,/miːt/,meat,,
beef,n.⽜⾁,/biːf/,beef,,
pork,n.猪⾁,/pɔːk/,pork,,
egg,n.（作⻝物⽤的）蛋；鸡蛋,/eɡ/,egg,,
fruit,n.⽔果；成果 v.结果实,/fruːt/,fruit,,
apple,"n.苹果,苹果树",/ˈæp(ə)l/,ap-ple,,
banana,n.⾹蕉,/bəˈnɑːnə/,ba-na-na,,
grape,n.葡萄,/ɡreɪp/,grape,,
peach,n.桃；桃⼦；桃树；桃红⾊,/piːtʃ/,peach,,
pear,n.梨，梨树,/peə(r)/,pear,,
watermelon,n.西⽠,/ˈwɔːtəmelən/,wa-ter-mel-on,water|水 + melon|瓜,水瓜 → 西瓜
strawberry,n.草莓,/ˈstrɔːbəri/,straw-ber-ry,straw|稻草 + berry|浆果,稻草旁的浆果 → 草莓
vegetable,n.蔬菜,/ˈvedʒtəbl/,veg-e-ta-ble,veget-|生长 + -able|能...的,能生长的 → 蔬菜
carrot,n.胡萝⼘,/ˈkærət/,car-rot,,
onion,n.洋葱；葱头,/ˈʌnjən/,on-ion,,
cabbage,n.⽢蓝；卷⼼菜；洋⽩菜,/ˈkæbɪdʒ/,cab-bage,,
potato,n.⼟⾖；⻢铃薯(复数potatoes),/pəˈteɪtəʊ/,po-ta-to,,
tomato,n.西红柿，番茄(复数tomatoes),/təˈmɑːtəʊ/,to-ma-to,,
peanut,n.花⽣,/ˈpiːnʌt/,pea-nut,,
ice cream,phra.冰激凌,/ˈaɪs kriːm/,ice cream,,
biscuit,n.英饼⼲,/ˈbɪskɪt/,bis-cuit,,
cake,n.蛋糕，糕点,/keɪk/,cake,,
candy,n.糖；糖果,/ˈkændi/,can-dy,,
chocolate,n.巧克⼒，朱古⼒ adj.巧克⼒的,/ˈtʃɒklət/,choc-o-late,源自纳瓦特尔语xocolātl,外来词 → 巧克力
sausage,n.⾹肠；腊肠,/ˈsɒsɪdʒ/,sau-sage,,
salad,n.沙拉；⾊拉；蔬菜沙拉；混合沙拉,/ˈsæləd/,sal-ad,,
chip,n.炸薯条；炸薯⽚；芯⽚；碎⽚ v.削成碎 ⽚；碎裂,/tʃɪp/,chip,,
drink,v.喝；喝酒 n.饮料；酒,/drɪŋk/,drink,,
water,n.⽔ v.给......浇⽔；给（某地）供⽔,/ˈwɔːtə(r)/,wa-ter,,
milk,n.（⽜或⽺等的）奶，⽜奶 v.挤奶,/mɪlk/,milk,,
coffee,n.咖啡,/ˈkɒfi/,cof-fee,,
tea,n.茶；茶叶；茶⽔,/tiː/,tea,,
cola,"n.可乐饮料；可乐树(其⼦含咖啡碱),",/ˈkəʊlə/,co-la,,
juice,n.(⽔果或蔬菜的)汁；⽔果(蔬...)，果汁,/dʒuːs/,juice,,
soup,n.汤；羹,/suːp/,soup,,
knife,n.(pl.knives）餐⼑；⼑具,/naɪf/,knife,,
fork,n.餐叉；叉⼦；分岔；分⽀ v.分岔；⽤叉 ⼦叉,/fɔːk/,fork,,
plate,"n.盘⼦,碟⼦;板块;⻋牌",/pleɪt/,plate,,
bowl,n.碗；钵；盆；⼀碗......；碗状物 v.投掷 ；滚动,/bəʊl/,bowl,,
spoon,n.匙，调羹，勺;⼀勺的量,/spuːn/,spoon,,
cup,n.杯⼦；茶杯；⼀杯（的量）,/kʌp/,cup,,
glass,n.玻璃；玻璃制品；(glasses)眼镜,/ɡlɑːs/,glass,,
sweet,adj.甜蜜的；甜的；含糖的；可爱的 n.糖 果；甜⻝,/swiːt/,sweet,,
spicy,adj.含⾹料的；辣的；下流的,/ˈspaɪsi/,spi-cy,,
Monday,n.星期⼀,/ˈmʌndeɪ/,Mon-day,,
Tuesday,n.星期⼆,/ˈtjuːzdeɪ/,Tues-day,,
Wednesday,n.星期三,/ˈwenzdeɪ/,Wednes-day,,
Thursday,n.星期四,/ˈθɜːzdeɪ/,Thurs-day,,
Friday,n.星期五,/ˈfraɪdeɪ/,Fri-day,,
Saturday,n.星期六,/ˈsætədeɪ/,Sat-ur-day,,
Sunday,n.星期⽇,/ˈsʌndeɪ/,Sun-day,,
weekend,n.周末,/ˌwiːkˈend/,week-end,week|周 + end|末尾,一周的末尾 → 周末
January,n.(Jan.)⼀⽉,/ˈdʒænjuəri/,Jan-u-ar-y,,
February,n.(Feb.)⼆⽉,/ˈfebruəri/,Feb-ru-ar-y,,
March,n.三⽉,/mɑːtʃ/,March,,
April,n.(Apr.)四⽉,/ˈeɪprəl/,A-pril,,
May,n.五⽉；梅（⼈名）,/meɪ/,May,,
June,n.(Jun.)六⽉,/dʒuːn/,June,,
July,n.(Jul.)七⽉,/dʒuˈlaɪ/,Ju-ly,,
August,n.(Aug.)⼋⽉,/ˈɔːɡəst/,Au-gust,,
September,n.(Sept.)九⽉,/sepˈtembə(r)/,Sep-tem-ber,,
October,n.(Oct.)⼗⽉,/ɒkˈtəʊbə(r)/,Oc-to-ber,,
November,n.(Nov.)⼗⼀⽉,/nəʊˈvembə(r)/,No-vem-ber,,
December,n.(Dec.)⼗⼆⽉,/dɪˈsembə(r)/,De-cem-ber,,
one,num.⼀ pron.⼀（个，只...）；指代已知 的事物,/wʌn/,one,,
first,n.第⼀ adj.第⼀的 adv.最初；第⼀；⾸先,/fɜːst/,first,,
two,num.⼆；两个(的),/tuː/,two,,
second,n.第⼆；秒；⽚刻 adj.第⼆的 adv.第⼆ v.⽀持，附议,/ˈsekənd/,sec-ond,,
three,num.三；三个(的),/θriː/,three,,
third,n.三分之⼀；第三 adj.第三的 adv.第三,/θɜːd/,third,,
four,num.四；四个(的),/fɔː(r)/,four,,
fourth,n.第四个；四分之⼀ adj.第四的 adv.第四,/fɔːθ/,fourth,,
five,num.五；五个(的),/faɪv/,five,,
fifth,n.第五；五分之⼀ adj.第五的 adv.第五,/fɪfθ/,fifth,,
six,num.六；六个(的),/sɪks/,six,,
sixth,n.第六；六分之⼀ adj.第六的；六分之⼀ 的,/sɪksθ/,sixth,,
seven,num.七；七个(的),/ˈsevn/,sev-en,,
seventh,n.第七；七分之⼀ adj.第七的；七分之⼀ 的,/ˈsev(ə)nθ/,,,
eight,num.⼋；⼋个(的),/eɪt/,eight,,
eighth,n.第⼋；⼋分之⼀ adj.第⼋的 adv.第⼋,/eɪtθ/,eighth,,
nine,num.九；九个(的),/naɪn/,nine,,
ninth,n.九分之⼀；第九 adj.第九的 adv.第九,/naɪnθ/,ninth,,
ten,num.⼗；⼗个(的),/ten/,ten,,
tenth,n.第⼗；⼗分之⼀ adj.第⼗的；⼗分之⼀ 的 adv.第⼗,/tenθ/,tenth,,
eleven,num.⼗⼀；⼗⼀个(的),/ɪˈlevn/,e-lev-en,,
twelfth,n.第⼗⼆；⼗⼆分之⼀ adj.第⼗⼆的 adv.第⼗⼆,/twelfθ/,twelfth,,
thirteen,num.⼗三；⼗三个(的),/ˌθɜːˈtiːn/,thir-teen,,
thirteenth,n.第⼗三；⼗三分之⼀ adj.第⼗三的；⼗ 三分之⼀的,/ˌθɜːˈtiːnθ/,thir-teenth,,
fourteen,num.⼗四；⼗四个(的),/ˌfɔːˈtiːn/,four-teen,,
fourteenth,n.第⼗四；⼗四分之⼀ adj.第⼗四的 adv.第⼗四,/ˌfɔːˈtiːnθ/,four-teenth,,
fifteen,num.⼗五；⼗五个(的),/ˌfɪfˈtiːn/,fif-teen,,
fifteenth,num.第⼗五；⼗五分之⼀ n.第⼗五；第 ⼗五个 adj.第⼗五的,/ˌfɪfˈtiːnθ/,fif-teenth,,
sixteen,num.⼗六；⼗六个(的),/ˌsɪksˈtiːn/,six-teen,,
sixteenth,n.第⼗六；⼗六分之⼀ adj.第⼗六的；⼗ 六分之⼀的 num.第⼗六,/ˌsɪksˈtiːnθ/,six-teenth,,
